fpr,tpr,thresholds
0.0,0.0,2.0
0.0,0.0019047619047619048,1.0
0.0,0.017142857142857144,0.9999999
0.0,0.01904761904761905,0.99999976
0.0,0.02666666666666667,0.9999995
0.0,0.03238095238095238,0.9999994
0.0,0.04,0.9999993
0.0,0.049523809523809526,0.99999917
0.0,0.05333333333333334,0.99999905
0.0,0.06476190476190476,0.9999989
0.0,0.06857142857142857,0.9999988
0.0,0.07047619047619047,0.9999987
0.0,0.0761904761904762,0.99999857
0.0,0.08,0.9999982
0.0,0.08571428571428572,0.9999981
0.0,0.08761904761904762,0.999998
0.0,0.09333333333333334,0.99999774
0.0,0.09714285714285714,0.9999975
0.0,0.09904761904761905,0.9999974
0.0,0.10285714285714286,0.99999726
0.0,0.10857142857142857,0.99999714
0.0,0.11619047619047619,0.999997
0.0,0.1219047619047619,0.9999969
0.0,0.12571428571428572,0.9999968
0.0,0.12761904761904763,0.99999666
0.0,0.13142857142857142,0.99999654
0.0,0.13523809523809524,0.9999963
0.0,0.13904761904761906,0.9999962
0.0,0.14476190476190476,0.99999595
0.0,0.14857142857142858,0.9999956
0.0,0.1523809523809524,0.99999547
0.0,0.1580952380952381,0.99999535
0.0,0.1619047619047619,0.9999951
0.0,0.1657142857142857,0.999995
0.0,0.17142857142857143,0.9999949
0.0,0.19428571428571428,0.9999937
0.0,0.2038095238095238,0.99999225
0.0,0.21904761904761905,0.999992
0.0,0.22095238095238096,0.99999154
0.0,0.22476190476190477,0.9999913
0.0,0.23238095238095238,0.99999034
0.0,0.23809523809523808,0.9999902
0.0,0.24,0.99998987
0.0,0.25142857142857145,0.99998844
0.0,0.259047619047619,0.9999875
0.0,0.26666666666666666,0.9999871
0.0,0.2761904761904762,0.9999857
0.0,0.2819047619047619,0.9999856
0.0,0.2857142857142857,0.99998546
0.0,0.2914285714285714,0.9999845
0.0,0.29523809523809524,0.9999844
0.0,0.3028571428571429,0.99998343
0.0,0.30857142857142855,0.9999832
0.0,0.31238095238095237,0.99998224
0.0,0.3161904761904762,0.9999821
0.0,0.32,0.99998164
0.0,0.3238095238095238,0.99998116
0.0,0.3314285714285714,0.9999794
0.0,0.33904761904761904,0.999979
0.0,0.3466666666666667,0.99997807
0.0,0.35428571428571426,0.999977
0.0,0.35619047619047617,0.9999765
0.0,0.36,0.9999764
0.0,0.3676190476190476,0.9999751
0.0,0.37142857142857144,0.99997497
0.0,0.38285714285714284,0.9999727
0.0,0.38666666666666666,0.99997246
0.0,0.3923809523809524,0.99996924
0.0,0.3961904761904762,0.9999677
0.0,0.3980952380952381,0.99996734
0.0,0.4038095238095238,0.9999672
0.0,0.41333333333333333,0.99996555
0.0,0.41714285714285715,0.9999653
0.0,0.44571428571428573,0.9999554
0.0,0.44952380952380955,0.99995506
0.0,0.4533333333333333,0.9999535
0.0,0.45714285714285713,0.9999523
0.0,0.4742857142857143,0.9999448
0.0009624639076034649,0.4742857142857143,0.99994266
0.0009624639076034649,0.4876190476190476,0.9999361
0.0009624639076034649,0.49142857142857144,0.9999347
0.0009624639076034649,0.5066666666666667,0.9999232
0.0009624639076034649,0.5104761904761905,0.99992263
0.0009624639076034649,0.7371428571428571,0.9993037
0.0019249278152069298,0.7371428571428571,0.9992331
0.0019249278152069298,0.7733333333333333,0.99858224
0.0028873917228103944,0.7733333333333333,0.9985654
0.0028873917228103944,0.7828571428571428,0.9984457
0.0038498556304138597,0.7828571428571428,0.9984366
0.0038498556304138597,0.8019047619047619,0.997609
0.004812319538017324,0.8019047619047619,0.9975816
0.004812319538017324,0.8723809523809524,0.9828367
0.006737247353224254,0.8723809523809524,0.97598517
0.006737247353224254,0.878095238095238,0.97104824
0.007699711260827719,0.878095238095238,0.9676761
0.007699711260827719,0.9028571428571428,0.91326445
0.008662175168431183,0.9028571428571428,0.9120736
0.008662175168431183,0.9142857142857143,0.8738966
0.009624639076034648,0.9142857142857143,0.8657222
0.009624639076034648,0.9180952380952381,0.8147155
0.010587102983638113,0.9180952380952381,0.7676061
0.010587102983638113,0.9257142857142857,0.6414067
0.012512030798845043,0.9257142857142857,0.5982564
0.012512030798845043,0.9371428571428572,0.47445145
0.014436958614051972,0.9371428571428572,0.4429765
0.014436958614051972,0.939047619047619,0.4308789
0.015399422521655439,0.939047619047619,0.3971202
0.015399422521655439,0.940952380952381,0.3767742
0.016361886429258902,0.940952380952381,0.3628405
0.016361886429258902,0.9466666666666667,0.23645562
0.017324350336862367,0.9466666666666667,0.18457022
0.017324350336862367,0.9542857142857143,0.099582106
0.02021174205967276,0.9542857142857143,0.08842363
0.02021174205967276,0.9561904761904761,0.079331845
0.021174205967276226,0.9561904761904761,0.079164974
0.021174205967276226,0.9580952380952381,0.07799063
0.023099133782483156,0.9580952380952381,0.063173525
0.023099133782483156,0.96,0.060868695
0.02598652550529355,0.96,0.050609134
0.02598652550529355,0.9657142857142857,0.029664828
0.02791145332050048,0.9657142857142857,0.027286133
0.02791145332050048,0.9676190476190476,0.02570736
0.028873917228103944,0.9676190476190476,0.021950895
0.028873917228103944,0.9695238095238096,0.021737784
0.03176130895091434,0.9695238095238096,0.01374513
0.03176130895091434,0.9714285714285714,0.012011355
0.03753609239653513,0.9714285714285714,0.0080437055
0.03753609239653513,0.9733333333333334,0.008020681
0.04234841193455245,0.9733333333333334,0.006216801
0.04234841193455245,0.9771428571428571,0.0054363045
0.04812319538017324,0.9771428571428571,0.004615911
0.04812319538017324,0.979047619047619,0.00457474
0.05101058710298364,0.979047619047619,0.003827416
0.05101058710298364,0.9809523809523809,0.0037828535
0.05678537054860443,0.9809523809523809,0.0029496434
0.05678537054860443,0.9828571428571429,0.0027160803
0.06448508180943215,0.9828571428571429,0.0020431473
0.06448508180943215,0.9847619047619047,0.0020267374
0.09432146294513956,0.9847619047619047,0.0006329669
0.09432146294513956,0.9866666666666667,0.0006320232
0.09720885466794996,0.9866666666666667,0.0005954986
0.09720885466794996,0.9885714285714285,0.00057769235
0.10490856592877768,0.9885714285714285,0.00051388086
0.10490856592877768,0.9904761904761905,0.0005084423
0.136669874879692,0.9904761904761905,0.00029417555
0.136669874879692,0.9923809523809524,0.00029342607
0.23099133782483156,0.9923809523809524,9.0910835e-05
0.23099133782483156,0.9942857142857143,9.065175e-05
0.4013474494706448,0.9942857142857143,2.1514554e-05
0.4013474494706448,0.9961904761904762,2.1338617e-05
0.5678537054860443,0.9961904761904762,6.7586393e-06
0.5678537054860443,0.9980952380952381,6.7397996e-06
0.8469682386910491,0.9980952380952381,4.7597885e-07
0.8469682386910491,1.0,4.7111686e-07
1.0,1.0,4.323776e-10
