fpr,tpr,thresholds
0.0,0.0,1.9999093
0.0,0.0012804097311139564,0.9999093
0.0,0.19206145966709348,0.99508
0.0,0.1946222791293214,0.9949567
0.0,0.34314980793854033,0.99024874
0.0008,0.34314980793854033,0.9902291
0.0008,0.6376440460947503,0.97383696
0.0008,0.6402048655569782,0.9737974
0.0008,0.7554417413572343,0.9593727
0.0008,0.7580025608194623,0.958387
0.0008,0.7976952624839949,0.9476759
0.0016,0.7976952624839949,0.94733286
0.0016,0.8002560819462228,0.9463003
0.0024,0.8002560819462228,0.94608
0.0024,0.8117797695262484,0.9446869
0.0032,0.8117797695262484,0.9444061
0.0032,0.8450704225352113,0.9344294
0.0032,0.8476312419974392,0.9339629
0.0032,0.8681177976952625,0.92583627
0.0032,0.8706786171574904,0.9256067
0.0032,0.8924455825864277,0.9139162
0.004,0.8924455825864277,0.9139089
0.004,0.9014084507042254,0.9072224
0.0056,0.9014084507042254,0.9050724
0.0056,0.9078104993597952,0.8977236
0.0072,0.9078104993597952,0.8934752
0.0072,0.910371318822023,0.89308697
0.008,0.910371318822023,0.89293724
0.008,0.912932138284251,0.8901423
0.0104,0.912932138284251,0.88669777
0.0104,0.9257362355953905,0.87145525
0.0112,0.9257362355953905,0.87134165
0.0112,0.9282970550576184,0.8689505
0.012,0.9282970550576184,0.8662555
0.012,0.9321382842509603,0.86199003
0.0128,0.9321382842509603,0.859073
0.0128,0.9359795134443022,0.8535636
0.0136,0.9359795134443022,0.8531509
0.0136,0.939820742637644,0.85127527
0.0144,0.939820742637644,0.8503797
0.0144,0.9475032010243278,0.838657
0.0152,0.9475032010243278,0.82591295
0.0152,0.9487836107554417,0.8231238
0.016,0.9487836107554417,0.8230838
0.016,0.9539052496798975,0.8020623
0.0168,0.9539052496798975,0.7985536
0.0168,0.9590268886043534,0.7709184
0.0184,0.9590268886043534,0.7600607
0.0184,0.9603072983354674,0.7528499
0.0192,0.9603072983354674,0.7475424
0.0192,0.967989756722151,0.7242884
0.02,0.967989756722151,0.7214512
0.02,0.970550576184379,0.7083206
0.0208,0.970550576184379,0.6953139
0.0208,0.9743918053777209,0.5784529
0.0224,0.9743918053777209,0.57501644
0.0224,0.9756722151088348,0.57385755
0.024,0.9756722151088348,0.5402399
0.024,0.9820742637644047,0.44266486
0.0248,0.9820742637644047,0.43254146
0.0248,0.9833546734955185,0.4164571
0.0296,0.9833546734955185,0.313162
0.0296,0.9846350832266325,0.2817433
0.0304,0.9846350832266325,0.27890503
0.0304,0.9910371318822023,0.21770553
0.0336,0.9910371318822023,0.1525405
0.0336,0.9935979513444302,0.11590185
0.0344,0.9935979513444302,0.11449249
0.0344,0.9948783610755442,0.097919025
0.0368,0.9948783610755442,0.07397767
0.0368,0.9961587708066582,0.06746709
0.04,0.9961587708066582,0.0422888
0.04,0.9974391805377721,0.040741857
0.0528,0.9974391805377721,0.018221868
0.0528,0.998719590268886,0.017560747
0.0632,0.998719590268886,0.013794975
0.0632,1.0,0.013450346
0.1304,1.0,0.0049166204
0.132,1.0,0.0048960014
0.1376,1.0,0.004742306
0.1392,1.0,0.004733559
0.152,1.0,0.004251033
0.1536,1.0,0.004244879
0.2144,1.0,0.0025381418
0.2168,1.0,0.0025246302
0.3568,1.0,0.0010574562
0.3584,1.0,0.0010526577
0.364,1.0,0.0010019992
0.3656,1.0,0.0010013679
0.7312,1.0,1.487576e-05
0.7328,1.0,1.4634783e-05
0.7448,1.0,1.0808977e-05
0.7464,1.0,1.0602518e-05
0.7696,1.0,6.253666e-06
0.772,1.0,6.1592114e-06
1.0,1.0,1.6573614e-21
