model;full_retrain;accuracy_test;accuracy_train;accuracy_val;img_size;seed;precision_COVID-19;recall_COVID-19;f1_COVID-19;precision_Normal;recall_Normal;f1_Normal;precision_Opacity;recall_Opacity;f1_Opacity;Class_Repo_Train;Class_Repo_Val;Class_Repo_Test;F_Score_Train;F_Score_Val;F_Score_Test;confusion_matrix_train;confusion_matrix_val;confusion_matrix_test;epochs;augmentation;dropout;opt;base_learn_rate;;;;;;;;
cache/tl_vgg16_finetune_nd.h5;True;0.9060773480662984;1.0;0.9303079416531604;(300, 300, 3);587;0.9228395061728395;0.9583333333333334;0.940251572327044;0.8578947368421053;0.9261363636363636;0.8907103825136612;0.9238095238095239;0.8220338983050848;0.8699551569506727;{'Opacity': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 758}, 'COVID-19': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1029}, 'Normal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 678}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 2465}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 2465}};{'Opacity': {'precision': 0.9294117647058824, 'recall': 0.8586956521739131, 'f1-score': 0.8926553672316385, 'support': 184}, 'COVID-19': {'precision': 0.9273356401384083, 'recall': 0.9925925925925926, 'f1-score': 0.9588550983899821, 'support': 270}, 'Normal': {'precision': 0.9367088607594937, 'recall': 0.9079754601226994, 'f1-score': 0.9221183800623053, 'support': 163}, 'accuracy': 0.9303079416531604, 'macro avg': {'precision': 0.9311520885345947, 'recall': 0.9197545682964017, 'f1-score': 0.9245429485613087, 'support': 617}, 'weighted avg': {'precision': 0.9304310078558349, 'recall': 0.9303079416531604, 'f1-score': 0.9294080390373944, 'support': 617}};{'Opacity': {'precision': 0.9238095238095239, 'recall': 0.8220338983050848, 'f1-score': 0.8699551569506727, 'support': 236}, 'COVID-19': {'precision': 0.9228395061728395, 'recall': 0.9583333333333334, 'f1-score': 0.940251572327044, 'support': 312}, 'Normal': {'precision': 0.8578947368421053, 'recall': 0.9261363636363636, 'f1-score': 0.8907103825136612, 'support': 176}, 'accuracy': 0.9060773480662984, 'macro avg': {'precision': 0.9015145889414896, 'recall': 0.902167865091594, 'f1-score': 0.9003057039304593, 'support': 724}, 'weighted avg': {'precision': 0.9073680210347846, 'recall': 0.9060773480662984, 'f1-score': 0.9052941090176808, 'support': 724}};(1.0, 1.0, 1.0, None);(0.9311520885345947, 0.9197545682964017, 0.9245429485613087, None);(0.9015145889414896, 0.902167865091594, 0.9003057039304593, None);"[[ 758    0    0]
 [   0 1029    0]
 [   0    0  678]]";"[[158  16  10]
 [  2 268   0]
 [ 10   5 148]]";"[[194  20  22]
 [  8 299   5]
 [  8   5 163]]";150;simple;0.5;Adam;1;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cache/tl_densenet121_finetune.h5;Cohen-RICORD-Kaggle-RSNA;19746.95404195785;11.17119526863098;True;0.9243645381277124;0.5595523581135092;0.9921182266009853;0.9408983451536644;(300, 300, 3);587;0.950207468879668;0.9462809917355371;0.9482401656314698;0.9206896551724136;0.9270833333333334;0.9238754325259516;0.9056261343012704;0.9023508137432188;0.9039855072463768;{'Opacity': {'precision': 0.992749581706637, 'recall': 0.9883398112159911, 'f1-score': 0.9905397885364496, 'support': 1801}, 'COVID-19': {'precision': 0.9932556713672593, 'recall': 0.996309963099631, 'f1-score': 0.9947804728277556, 'support': 1626}, 'Normal': {'precision': 0.9903089036947305, 'recall': 0.9921116504854369, 'f1-score': 0.9912094574113367, 'support': 1648}, 'accuracy': 0.9921182266009853, 'macro avg': {'precision': 0.9921047189228757, 'recall': 0.9922538082670197, 'f1-score': 0.9921765729251807, 'support': 5075}, 'weighted avg': {'precision': 0.9921191707558092, 'recall': 0.9921182266009853, 'f1-score': 0.992115939662258, 'support': 5075}};{'Opacity': {'precision': 0.9346246973365617, 'recall': 0.910377358490566, 'f1-score': 0.9223416965352448, 'support': 424}, 'COVID-19': {'precision': 0.9709821428571429, 'recall': 0.9645232815964523, 'f1-score': 0.967741935483871, 'support': 451}, 'Normal': {'precision': 0.9142156862745098, 'recall': 0.9467005076142132, 'f1-score': 0.9301745635910225, 'support': 394}, 'accuracy': 0.9408983451536643, 'macro avg': {'precision': 0.9399408421560714, 'recall': 0.9405337159004105, 'f1-score': 0.9400860652033795, 'support': 1269}, 'weighted avg': {'precision': 0.9412094550759894, 'recall': 0.9408983451536643, 'f1-score': 0.9409088024342258, 'support': 1269}};{'Opacity': {'precision': 0.9056261343012704, 'recall': 0.9023508137432188, 'f1-score': 0.9039855072463767, 'support': 553}, 'COVID-19': {'precision': 0.950207468879668, 'recall': 0.9462809917355371, 'f1-score': 0.9482401656314698, 'support': 484}, 'Normal': {'precision': 0.9206896551724137, 'recall': 0.9270833333333334, 'f1-score': 0.9238754325259516, 'support': 576}, 'accuracy': 0.9243645381277124, 'macro avg': {'precision': 0.9255077527844507, 'recall': 0.9252383796040298, 'f1-score': 0.9253670351345994, 'support': 1613}, 'weighted avg': {'precision': 0.9243824603754942, 'recall': 0.9243645381277124, 'f1-score': 0.9243673123421114, 'support': 1613}};{'Opacity': {'precision': 0.95, 'recall': 0.5579819277108434, 'f1-score': 0.7030360531309299, 'support': 1328}, 'COVID-19': {'precision': 0.3987460815047022, 'recall': 0.8641304347826086, 'f1-score': 0.5456885456885456, 'support': 736}, 'Normal': {'precision': 0.18110236220472442, 'recall': 0.05251141552511415, 'f1-score': 0.08141592920353982, 'support': 438}, 'accuracy': 0.5595523581135092, 'macro avg': {'precision': 0.5099494812364754, 'recall': 0.49154125933952203, 'f1-score': 0.4433801760076718, 'support': 2502}, 'weighted avg': {'precision': 0.6532373903409792, 'recall': 0.5595523581135092, 'f1-score': 0.5479291867209412, 'support': 2502}};(0.9921047189228757, 0.9922538082670197, 0.9921765729251807, None);(0.9399408421560714, 0.9405337159004105, 0.9400860652033795, None);(0.9255077527844507, 0.9252383796040298, 0.9253670351345994, None);(0.5099494812364754, 0.49154125933952203, 0.4433801760076718, None);[[1780    9   12]  [   2 1620    4]  [  11    2 1635]];[[386   9  29]  [ 10 435   6]  [ 17   4 373]];[[499  20  34]  [ 14 458  12]  [ 38   4 534]];[[741 561  26]  [ 22 636  78]  [ 17 398  23]];150;simple;0.5;Adam;1;1
cache/tl_densenet121_finetune.h5;Cohen-RICORD-Kaggle-RSNA;19786.53181743622;10.994148254394531;True;0.9340385812072184;0.4806849860613301;0.999015748031496;0.9346456692913386;(300, 300, 3);587;0.9667318982387476;0.95;0.9582929194956352;0.90595009596929;0.9458917835671342;0.9254901960784314;0.9304347826086956;0.9098639455782312;0.9200343938091144;{'Opacity': {'precision': 0.9983012457531144, 'recall': 0.9988668555240793, 'f1-score': 0.9985839705465873, 'support': 1765}, 'COVID-19': {'precision': 0.9993861264579497, 'recall': 1.0, 'f1-score': 0.9996929689898679, 'support': 1628}, 'Normal': {'precision': 0.9994065281899109, 'recall': 0.998221695317131, 'f1-score': 0.9988137603795966, 'support': 1687}, 'accuracy': 0.9990157480314961, 'macro avg': {'precision': 0.9990313001336584, 'recall': 0.9990295169470701, 'f1-score': 0.9990302333053506, 'support': 5080}, 'weighted avg': {'precision': 0.9990159696228679, 'recall': 0.9990157480314961, 'f1-score': 0.999015684112325, 'support': 5080}};{'Opacity': {'precision': 0.919431279620853, 'recall': 0.9129411764705883, 'f1-score': 0.9161747343565524, 'support': 425}, 'COVID-19': {'precision': 0.9682151589242054, 'recall': 0.9588377723970944, 'f1-score': 0.9635036496350364, 'support': 413}, 'Normal': {'precision': 0.9179954441913439, 'recall': 0.9328703703703703, 'f1-score': 0.9253731343283582, 'support': 432}, 'accuracy': 0.9346456692913386, 'macro avg': {'precision': 0.935213960912134, 'recall': 0.9348831064126842, 'f1-score': 0.9350171727733158, 'support': 1270}, 'weighted avg': {'precision': 0.934807233358441, 'recall': 0.9346456692913386, 'f1-score': 0.9346948530950043, 'support': 1270}};{'Opacity': {'precision': 0.9304347826086956, 'recall': 0.9098639455782312, 'f1-score': 0.9200343938091143, 'support': 588}, 'COVID-19': {'precision': 0.9667318982387475, 'recall': 0.95, 'f1-score': 0.9582929194956353, 'support': 520}, 'Normal': {'precision': 0.9059500959692899, 'recall': 0.9458917835671342, 'f1-score': 0.9254901960784314, 'support': 499}, 'accuracy': 0.9340385812072184, 'macro avg': {'precision': 0.934372258938911, 'recall': 0.9352519097151218, 'f1-score': 0.9346058364610604, 'support': 1607}, 'weighted avg': {'precision': 0.9345770610745098, 'recall': 0.9340385812072184, 'f1-score': 0.9341083693469986, 'support': 1607}};{'Opacity': {'precision': 0.9228295819935691, 'recall': 0.44773790951638065, 'f1-score': 0.6029411764705883, 'support': 1282}, 'COVID-19': {'precision': 0.3454443823365008, 'recall': 0.8396739130434783, 'f1-score': 0.4895049504950495, 'support': 736}, 'Normal': {'precision': 0.15, 'recall': 0.030425963488843813, 'f1-score': 0.0505902192242833, 'support': 493}, 'accuracy': 0.48068498606133014, 'macro avg': {'precision': 0.4727579881100233, 'recall': 0.43927926201623424, 'f1-score': 0.38101211539664037, 'support': 2511}, 'weighted avg': {'precision': 0.601857662092959, 'recall': 0.48068498606133014, 'f1-score': 0.46124540417252974, 'support': 2511}};(0.9990313001336584, 0.9990295169470701, 0.9990302333053506, None);(0.935213960912134, 0.9348831064126842, 0.9350171727733158, None);(0.934372258938911, 0.9352519097151218, 0.9346058364610604, None);(0.4727579881100233, 0.43927926201623424, 0.38101211539664037, None);[[1763    1    1]  [   0 1628    0]  [   3    0 1684]];[[388  10  27]  [  8 396   9]  [ 26   3 403]];[[535  12  41]  [ 18 494   8]  [ 22   5 472]];[[574 694  14]  [ 47 618  71]  [  1 477  15]];150;simple;0.5;Adam;1;2
cache/tl_densenet121_finetune.h5;Cohen-RICORD-Kaggle-RSNA;19698.249716043472;9.261986255645752;True;0.931930693069307;0.3997584541062802;0.9994085173501576;0.933806146572104;(300, 300, 3);587;0.9655870445344128;0.9445544554455444;0.954954954954955;0.9157894736842104;0.9439421338155516;0.929652715939448;0.9184782608695652;0.9086021505376344;0.9135135135135136;{'Opacity': {'precision': 1.0, 'recall': 0.9982915717539863, 'f1-score': 0.9991450555713878, 'support': 1756}, 'COVID-19': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1648}, 'Normal': {'precision': 0.9982046678635548, 'recall': 1.0, 'f1-score': 0.9991015274034142, 'support': 1668}, 'accuracy': 0.9994085173501577, 'macro avg': {'precision': 0.9994015559545183, 'recall': 0.9994305239179955, 'f1-score': 0.9994155276582674, 'support': 5072}, 'weighted avg': {'precision': 0.9994095792579671, 'recall': 0.9994085173501577, 'f1-score': 0.9994085302232357, 'support': 5072}};{'Opacity': {'precision': 0.9340659340659341, 'recall': 0.915948275862069, 'f1-score': 0.9249183895538629, 'support': 464}, 'COVID-19': {'precision': 0.9623115577889447, 'recall': 0.9387254901960784, 'f1-score': 0.9503722084367245, 'support': 408}, 'Normal': {'precision': 0.90625, 'recall': 0.9496221662468514, 'f1-score': 0.9274292742927429, 'support': 397}, 'accuracy': 0.933806146572104, 'macro avg': {'precision': 0.9342091639516262, 'recall': 0.9347653107683329, 'f1-score': 0.9342399574277768, 'support': 1269}, 'weighted avg': {'precision': 0.9344452001453765, 'recall': 0.933806146572104, 'f1-score': 0.9338876404171749, 'support': 1269}};{'Opacity': {'precision': 0.9184782608695652, 'recall': 0.9086021505376344, 'f1-score': 0.9135135135135135, 'support': 558}, 'COVID-19': {'precision': 0.9655870445344129, 'recall': 0.9445544554455445, 'f1-score': 0.954954954954955, 'support': 505}, 'Normal': {'precision': 0.9157894736842105, 'recall': 0.9439421338155516, 'f1-score': 0.9296527159394479, 'support': 553}, 'accuracy': 0.931930693069307, 'macro avg': {'precision': 0.9332849263627295, 'recall': 0.9323662465995769, 'f1-score': 0.9327070614693055, 'support': 1616}, 'weighted avg': {'precision': 0.932279644803505, 'recall': 0.931930693069307, 'f1-score': 0.9319868469723438, 'support': 1616}};{'Opacity': {'precision': 0.8858695652173914, 'recall': 0.2534992223950233, 'f1-score': 0.39419588875453454, 'support': 1286}, 'COVID-19': {'precision': 0.3287391526288923, 'recall': 0.8541114058355438, 'f1-score': 0.47475119793586434, 'support': 754}, 'Normal': {'precision': 0.1464968152866242, 'recall': 0.0518018018018018, 'f1-score': 0.07653910149750416, 'support': 444}, 'accuracy': 0.3997584541062802, 'macro avg': {'precision': 0.45370184437763594, 'recall': 0.38647081001078964, 'f1-score': 0.31516206272930103, 'support': 2484}, 'weighted avg': {'precision': 0.5845982962717436, 'recall': 0.3997584541062802, 'f1-score': 0.36186863013158815, 'support': 2484}};(0.9994015559545183, 0.9994305239179955, 0.9994155276582674, None);(0.9342091639516262, 0.9347653107683329, 0.9342399574277768, None);(0.9332849263627295, 0.9323662465995769, 0.9327070614693055, None);(0.45370184437763594, 0.38647081001078964, 0.31516206272930103, None);[[1753    0    3]  [   0 1648    0]  [   0    0 1668]];[[425  12  27]  [ 13 383  12]  [ 17   3 377]];[[507  14  37]  [ 17 477  11]  [ 28   3 522]];[[326 898  62]  [ 38 644  72]  [  4 417  23]];150;simple;0.5;Adam;1;3
cache/tl_densenet121_finetune.h5;Cohen-RICORD-Kaggle-RSNA;19767.91365098953;10.772475719451904;True;0.9370324189526184;0.3751051303616484;0.9984258166076349;0.937844217151849;(300, 300, 3);587;0.9652650822669104;0.9582577132486388;0.9617486338797816;0.9190647482014388;0.949814126394052;0.9341864716636198;0.9261477045908184;0.9009708737864076;0.9133858267716536;{'Opacity': {'precision': 0.996694214876033, 'recall': 0.9988956377691883, 'f1-score': 0.9977937120794264, 'support': 1811}, 'COVID-19': {'precision': 1.0, 'recall': 0.9993702770780857, 'f1-score': 0.9996850393700788, 'support': 1588}, 'Normal': {'precision': 0.9988095238095238, 'recall': 0.9970291146761735, 'f1-score': 0.9979185251263752, 'support': 1683}, 'accuracy': 0.9984258166076347, 'macro avg': {'precision': 0.998501246228519, 'recall': 0.9984316765078157, 'f1-score': 0.9984657588586269, 'support': 5082}, 'weighted avg': {'precision': 0.9984277158032122, 'recall': 0.9984258166076347, 'f1-score': 0.9984260395283778, 'support': 5082}};{'Opacity': {'precision': 0.9287305122494433, 'recall': 0.922566371681416, 'f1-score': 0.9256381798002221, 'support': 452}, 'COVID-19': {'precision': 0.9642857142857143, 'recall': 0.9597156398104265, 'f1-score': 0.9619952494061758, 'support': 422}, 'Normal': {'precision': 0.9203980099502488, 'recall': 0.9319899244332494, 'f1-score': 0.9261576971214017, 'support': 397}, 'accuracy': 0.937844217151849, 'macro avg': {'precision': 0.9378047454951354, 'recall': 0.938090645308364, 'f1-score': 0.9379303754425998, 'support': 1271}, 'weighted avg': {'precision': 0.9379329448588265, 'recall': 0.937844217151849, 'f1-score': 0.9378718003747467, 'support': 1271}};{'Opacity': {'precision': 0.9261477045908184, 'recall': 0.9009708737864077, 'f1-score': 0.9133858267716536, 'support': 515}, 'COVID-19': {'precision': 0.9652650822669104, 'recall': 0.9582577132486388, 'f1-score': 0.9617486338797815, 'support': 551}, 'Normal': {'precision': 0.9190647482014388, 'recall': 0.949814126394052, 'f1-score': 0.9341864716636198, 'support': 538}, 'accuracy': 0.9370324189526185, 'macro avg': {'precision': 0.9368258450197225, 'recall': 0.9363475711430329, 'f1-score': 0.936440310771685, 'support': 1604}, 'weighted avg': {'precision': 0.9372094530708934, 'recall': 0.9370324189526185, 'f1-score': 0.936976009856726, 'support': 1604}};{'Opacity': {'precision': 0.8576512455516014, 'recall': 0.19802793755135578, 'f1-score': 0.32176234979973295, 'support': 1217}, 'COVID-19': {'precision': 0.3192441571357534, 'recall': 0.8605898123324397, 'f1-score': 0.4657236126224157, 'support': 746}, 'Normal': {'precision': 0.10465116279069768, 'recall': 0.021686746987951807, 'f1-score': 0.035928143712574856, 'support': 415}, 'accuracy': 0.37510513036164844, 'macro avg': {'precision': 0.42718218849268413, 'recall': 0.3601014989572491, 'f1-score': 0.2744713687115745, 'support': 2378}, 'weighted avg': {'precision': 0.5573372328081205, 'recall': 0.37510513036164844, 'f1-score': 0.3170415367381479, 'support': 2378}};(0.998501246228519, 0.9984316765078157, 0.9984657588586269, None);(0.9378047454951354, 0.938090645308364, 0.9379303754425998, None);(0.9368258450197225, 0.9363475711430329, 0.936440310771685, None);(0.42718218849268413, 0.3601014989572491, 0.2744713687115745, None);[[1809    0    2]  [   1 1587    0]  [   5    0 1678]];[[417   8  27]  [ 12 405   5]  [ 20   7 370]];[[464  16  35]  [ 13 528  10]  [ 24   3 511]];[[241 967   9]  [ 36 642  68]  [  4 402   9]];150;simple;0.5;Adam;1;4
cache/tl_densenet121_finetune.h5;Cohen-RICORD-Kaggle-RSNA;19552.748298168182;11.668050527572632;True;0.939249553305539;0.438871473354232;0.9986061330147352;0.929936305732484;(300, 300, 3);587;0.9746376811594204;0.9693693693693692;0.9719963866305328;0.9163822525597268;0.952127659574468;0.9339130434782608;0.9279112754158964;0.8964285714285715;0.9118982742960944;{'Opacity': {'precision': 0.999437570303712, 'recall': 0.9971941638608305, 'f1-score': 0.998314606741573, 'support': 1782}, 'COVID-19': {'precision': 0.9987546699875467, 'recall': 0.9993769470404984, 'f1-score': 0.9990657116163189, 'support': 1605}, 'Normal': {'precision': 0.9975579975579976, 'recall': 0.999388379204893, 'f1-score': 0.9984723495264284, 'support': 1635}, 'accuracy': 0.9986061330147352, 'macro avg': {'precision': 0.9985834126164188, 'recall': 0.9986531633687407, 'f1-score': 0.99861755596144, 'support': 5022}, 'weighted avg': {'precision': 0.9986073917997916, 'recall': 0.9986061330147352, 'f1-score': 0.9986060111177589, 'support': 5022}};{'Opacity': {'precision': 0.9020501138952164, 'recall': 0.908256880733945, 'f1-score': 0.905142857142857, 'support': 436}, 'COVID-19': {'precision': 0.9623115577889447, 'recall': 0.9551122194513716, 'f1-score': 0.9586983729662076, 'support': 401}, 'Normal': {'precision': 0.9284009546539379, 'recall': 0.9284009546539379, 'f1-score': 0.9284009546539379, 'support': 419}, 'accuracy': 0.9299363057324841, 'macro avg': {'precision': 0.930920875446033, 'recall': 0.9305900182797515, 'f1-score': 0.9307473949210009, 'support': 1256}, 'weighted avg': {'precision': 0.930080242302294, 'recall': 0.9299363057324841, 'f1-score': 0.9300002653453304, 'support': 1256}};{'Opacity': {'precision': 0.9279112754158965, 'recall': 0.8964285714285715, 'f1-score': 0.9118982742960945, 'support': 560}, 'COVID-19': {'precision': 0.9746376811594203, 'recall': 0.9693693693693693, 'f1-score': 0.9719963866305329, 'support': 555}, 'Normal': {'precision': 0.9163822525597269, 'recall': 0.9521276595744681, 'f1-score': 0.9339130434782609, 'support': 564}, 'accuracy': 0.939249553305539, 'macro avg': {'precision': 0.9396437363783479, 'recall': 0.9393085334574697, 'f1-score': 0.9392692348016295, 'support': 1679}, 'weighted avg': {'precision': 0.9394841082311294, 'recall': 0.939249553305539, 'f1-score': 0.9391590141200106, 'support': 1679}};{'Opacity': {'precision': 0.8935361216730038, 'recall': 0.35525321239606955, 'f1-score': 0.5083829096809086, 'support': 1323}, 'COVID-19': {'precision': 0.32539252842447214, 'recall': 0.8045515394912985, 'f1-score': 0.4633770239013108, 'support': 747}, 'Normal': {'precision': 0.2737430167597765, 'recall': 0.1016597510373444, 'f1-score': 0.14826021180030258, 'support': 482}, 'accuracy': 0.438871473354232, 'macro avg': {'precision': 0.4975572222857508, 'recall': 0.4204881676415709, 'f1-score': 0.3733400484608406, 'support': 2552}, 'weighted avg': {'precision': 0.6101726652761273, 'recall': 0.438871473354232, 'f1-score': 0.427192260364368, 'support': 2552}};(0.9985834126164188, 0.9986531633687407, 0.99861755596144, None);(0.930920875446033, 0.9305900182797515, 0.9307473949210009, None);(0.9396437363783479, 0.9393085334574697, 0.9392692348016295, None);(0.4975572222857508, 0.4204881676415709, 0.3733400484608406, None);[[1777    1    4]  [   1 1604    0]  [   0    1 1634]];[[396  13  27]  [ 15 383   3]  [ 28   2 389]];[[502  13  45]  [ 13 538   4]  [ 26   1 537]];[[470 821  32]  [ 48 601  98]  [  8 425  49]];150;simple;0.5;Adam;1;5
