fpr,tpr,thresholds
0.0,0.0,1.9999999
0.0,0.002,0.9999999
0.0,0.052,0.9999591
0.0,0.056,0.99995744
0.0,0.064,0.99994993
0.0,0.068,0.9999411
0.0,0.23,0.99956363
0.0009276437847866419,0.23,0.99955827
0.0009276437847866419,0.244,0.999479
0.0018552875695732839,0.244,0.9994747
0.0018552875695732839,0.518,0.99558735
0.0027829313543599257,0.518,0.995449
0.0027829313543599257,0.534,0.9944939
0.0037105751391465678,0.534,0.99449265
0.0037105751391465678,0.606,0.9907397
0.00463821892393321,0.606,0.9906566
0.00463821892393321,0.644,0.98726696
0.0055658627087198514,0.644,0.9869465
0.0055658627087198514,0.698,0.9777361
0.006493506493506494,0.698,0.97750163
0.006493506493506494,0.708,0.9749653
0.0074211502782931356,0.708,0.974795
0.0074211502782931356,0.754,0.9625784
0.008348794063079777,0.754,0.9612584
0.008348794063079777,0.77,0.95217407
0.00927643784786642,0.77,0.950576
0.00927643784786642,0.796,0.93798983
0.01020408163265306,0.796,0.9358733
0.01020408163265306,0.802,0.9291468
0.011131725417439703,0.802,0.92169523
0.011131725417439703,0.824,0.9010873
0.012987012987012988,0.824,0.89575523
0.012987012987012988,0.832,0.8881722
0.013914656771799629,0.832,0.8867315
0.013914656771799629,0.834,0.8862763
0.014842300556586271,0.834,0.8806877
0.014842300556586271,0.848,0.8490879
0.016697588126159554,0.848,0.8458133
0.016697588126159554,0.856,0.8364895
0.017625231910946195,0.856,0.8361796
0.017625231910946195,0.858,0.83514124
0.01855287569573284,0.858,0.82803917
0.01855287569573284,0.86,0.8224265
0.022263450834879406,0.86,0.8039946
0.022263450834879406,0.872,0.77834624
0.02411873840445269,0.872,0.7706338
0.02411873840445269,0.88,0.7439205
0.02504638218923933,0.88,0.7434382
0.02504638218923933,0.888,0.73234916
0.026901669758812616,0.888,0.7252642
0.026901669758812616,0.892,0.710582
0.027829313543599257,0.892,0.69773126
0.027829313543599257,0.914,0.6445922
0.0287569573283859,0.914,0.6420629
0.0287569573283859,0.92,0.6348695
0.029684601113172542,0.92,0.62943983
0.029684601113172542,0.926,0.6092735
0.030612244897959183,0.926,0.60871047
0.030612244897959183,0.936,0.5318127
0.03432282003710575,0.936,0.5109196
0.03432282003710575,0.938,0.5048229
0.03710575139146568,0.938,0.46416137
0.03710575139146568,0.94,0.4631633
0.039888682745825604,0.94,0.43666065
0.039888682745825604,0.942,0.43605113
0.04452690166975881,0.942,0.37593356
0.04452690166975881,0.944,0.37169278
0.04730983302411874,0.944,0.33948296
0.04730983302411874,0.946,0.32372805
0.04823747680890538,0.946,0.3224079
0.04823747680890538,0.95,0.30451295
0.04916512059369202,0.95,0.29674357
0.04916512059369202,0.952,0.29291683
0.05009276437847866,0.952,0.2736913
0.05009276437847866,0.954,0.27102864
0.05473098330241188,0.954,0.24262378
0.05473098330241188,0.956,0.24145593
0.055658627087198514,0.956,0.23815498
0.055658627087198514,0.96,0.22389744
0.0640074211502783,0.96,0.19167905
0.0640074211502783,0.962,0.18861923
0.075139146567718,0.962,0.14553924
0.075139146567718,0.964,0.14287035
0.07792207792207792,0.964,0.13483688
0.07792207792207792,0.966,0.13365948
0.07977736549165121,0.966,0.12282644
0.07977736549165121,0.968,0.118587926
0.10946196660482375,0.968,0.06209483
0.10946196660482375,0.972,0.060283378
0.1150278293135436,0.972,0.054917753
0.1150278293135436,0.974,0.054896213
0.13079777365491652,0.974,0.045608427
0.13079777365491652,0.976,0.04393712
0.150278293135436,0.976,0.032837432
0.150278293135436,0.978,0.032557894
0.15862708719851576,0.978,0.028997153
0.15862708719851576,0.98,0.028859777
0.18552875695732837,0.98,0.017395034
0.18552875695732837,0.982,0.017275564
0.20500927643784786,0.982,0.012304097
0.20500927643784786,0.984,0.012296883
0.20686456400742115,0.984,0.012145773
0.20686456400742115,0.986,0.0120602185
0.2077922077922078,0.986,0.011996621
0.2077922077922078,0.988,0.011773002
0.22077922077922077,0.988,0.010414625
0.22077922077922077,0.99,0.0101503525
0.24304267161410018,0.99,0.008248763
0.24304267161410018,0.992,0.007956286
0.25788497217068646,0.992,0.006561857
0.25788497217068646,0.994,0.0065605235
0.2987012987012987,0.994,0.003817239
0.2987012987012987,0.996,0.0038108656
0.3339517625231911,0.996,0.0024910383
0.3339517625231911,0.998,0.0024633252
0.6669758812615956,0.998,0.0001432577
0.6669758812615956,1.0,0.00014175476
1.0,1.0,5.2882747e-08
